,course id,name,dept,year,semester,section,instructor,hrs,responses,date
430,70160,GRAPHIC MEDIA MGMT,BA,2015,Fall,A,ANTHONY STANTON,5.46,28,2015-09
431,70196,PUBLSHNG ON THE WWW,BA,2015,Fall,A,ANTHONY STANTON,7.7,10,2015-09
432,70207,PROB & STAT BUS APPL,BA,2015,Fall,A,XIZHEN CAI,6.41,33,2015-09
434,70311,ORGNZTN BEHAVIOR,BA,2015,Fall,A,OLIVER HAHL,6.17,37,2015-09
435,70311,ORGNZTN BEHAVIOR,BA,2015,Fall,B,OLIVER HAHL,6.03,39,2015-09
436,70311,ORGNZTN BEHAVIOR,BA,2015,Fall,C,OLIVER HAHL,6.06,32,2015-09
438,70321,NEGOTIATN CNFLCT RES,BA,2015,Fall,A,ELAINE HYDER,4.54,13,2015-09
439,70332,BUS SOCIETY & ETHICS,BA,2015,Fall,A,DAVID TUNGATE,7.74,36,2015-09
440,70332,BUS SOCIETY & ETHICS,BA,2015,Fall,B,DAVID TUNGATE,7.48,28,2015-09
441,70340,BUSINESS COMMUNCTNS,BA,2015,Fall,A,CLARA BURKE,11.18,11,2015-09
442,70340,BUSINESS COMMUNCTNS,BA,2015,Fall,B,CLARA BURKE,6.8,16,2015-09
443,70340,BUSINESS COMMUNCTNS,BA,2015,Fall,C,CLARA BURKE,9.64,11,2015-09
444,70340,BUSINESS COMMUNCTNS,BA,2015,Fall,D,V.EMILY STARK,7.4,15,2015-09
446,70340,BUSINESS COMMUNCTNS,BA,2015,Fall,X,J MCGINNIS,11.57,15,2015-09
449,70345,BUSINESS PRSNTATIONS,BA,2015,Fall,A,JULIA DEEMS,4.7,10,2015-09
450,70345,BUSINESS PRSNTATIONS,BA,2015,Fall,B,RONALD PLACONE,6.89,18,2015-09
451,70345,BUSINESS PRSNTATIONS,BA,2015,Fall,C,JULIA DEEMS,6.25,12,2015-09
452,70350,BUSINESS ACTING,BA,2015,Fall,A,GEOFFREY HITCH,5.25,13,2015-09
453,70364,BUSINESS LAW,BA,2015,Fall,A,DAVID TUNGATE,6.08,25,2015-09
454,70365,INT TRADE & INT LAW,BA,2015,Fall,A,CLIFFORD EARLY,7.0,15,2015-09
455,70371,OPERATIONS MGMT,BA,2015,Fall,A,MOHAMMAD DELASAY SORKHAB,6.58,39,2015-09
457,70376,ENERGY SYSTEMS,BA,2015,Fall,A,JEROME APT,7.62,22,2015-09
458,70381,MARKETING I,BA,2015,Fall,A,GUOFANG HUANG,7.39,38,2015-09
459,70381,MARKETING I,BA,2015,Fall,B,GUOFANG HUANG,6.89,45,2015-09
461,70391,FINANCE,BA,2015,Fall,A,CHRIS TELMER,10.43,64,2015-09
462,70391,FINANCE,BA,2015,Fall,B,CHRIS TELMER,11.04,25,2015-09
464,70391,FINANCE,BA,2015,Fall,X,MUHAMMAD FAROOQI,10.38,29,2015-09
465,70395,FUNDING ENTREP VENTR,BA,2015,Fall,A,STEPHEN BOLLINGER,6.5,15,2015-09
467,70401,MANAGEMENT GAME,BA,2015,Fall,A,DAVID LAMONT,10.14,29,2015-09
468,70415,INTRO ENTREPRENRSHIP,BA,2015,Fall,A,HARRIS JONES,9.09,23,2015-09
472,70424,CORP FINAN REPTNG,BA,2015,Fall,A,STEPHEN KAROLYI,11.09,12,2015-09
473,70428,FINANCL STATMNT ANAL,BA,2015,Fall,A,JING LI,7.47,18,2015-09
475,70437,ORG LRNG & STRAT MGT,BA,2015,Fall,A,LINDA ARGOTE,7.12,17,2015-09
477,70442,PRNCPL GAME THRY BUS,BA,2015,Fall,W1,JOHN GASPER,13.23,13,2015-09
479,70449,SOCL ECON INF NETWK,BA,2015,Fall,A,KATHARINE ANDERSON,5.75,8,2015-09
480,70460,MATH MDLS FR CNSLTNG,BA,2015,Fall,A,FATMA KILINC-KARZAN,8.25,14,2015-09
482,70481,MARKETING RESEARCH,BA,2015,Fall,A,LLOYD CORDER,6.38,13,2015-09
483,70482,PRICING STRTGY,BA,2015,Fall,A,KAIFU ZHANG,3.91,11,2015-09
484,70485,PRODUCT & BRAND MGT,BA,2015,Fall,A,JOHN LANKFORD,5.3,10,2015-09
485,70492,INVESTMENT ANALYSIS,BA,2015,Fall,A,ANISHA GHOSH,7.65,26,2015-09
487,70497,DERIVATIVE SECURTIES,BA,2015,Fall,A,LARS-ALEXANDER KUEHN,8.33,18,2015-09
490,70438,COMMERCLZN & INNOVTN,BA,2015,Spring,A,"BONI, A.  (co-taught)",6.29,7,2015-01
491,70438,COMMERCLZN & INNOVTN,BA,2015,Spring,A,"IMAM, R.  (co-taught)",7.14,7,2015-01
496,70414,ENTREPSHP FOR ENGRS,BA,2015,Fall,A,"MAWHINNEY, D.  (co-taught)",7.45,20,2015-09
497,70414,ENTREPSHP FOR ENGRS,BA,2015,Fall,A,"DALEY, R.  (co-taught)",7.75,20,2015-09
498,70420,ENTREPSHP SCIENTISTS,BA,2015,Fall,A,"MAWHINNEY, D.  (co-taught)",8.0,14,2015-09
499,70420,ENTREPSHP SCIENTISTS,BA,2015,Fall,A,"DALEY, R.  (co-taught)",7.36,14,2015-09
501,70122,INTRO TO ACCOUNTING,BA,2014,Summer,S,LUFEI RUAN,10.0,6,2014-06
504,70311,ORGNZTN BEHAVIOR,BA,2014,Summer,S,AMANDA PLUMMER WEIRUP,13.63,8,2014-06
505,70311,ORGNZTN BEHAVIOR,BA,2014,Summer,U,ERIN FAHRENKOPF,7.78,9,2014-06
506,70371,OPERATIONS MGMT,BA,2014,Summer,S,XIN WANG,9.71,7,2014-06
507,70381,MARKETING I,BA,2014,Summer,S,YI LIANG,10.7,10,2014-06
508,70391,FINANCE,BA,2014,Summer,U,NAN XIONG,10.0,6,2014-06
509,70101,INTRO BUSINESS MGMNT,BA,2014,Spring,A,DAVID RAMIREZ,5.0,20,2014-01
510,70122,INTRO TO ACCOUNTING,BA,2014,Spring,1,THOMAS RUCHTI,5.0,27,2014-01
511,70122,INTRO TO ACCOUNTING,BA,2014,Spring,2,THOMAS RUCHTI,5.32,29,2014-01
513,70160,GRAPHIC MEDIA MGMT,BA,2014,Spring,A,ANTHONY STANTON,4.7,20,2014-01
514,70194,PBLSH MGMT INFO AGE,BA,2014,Spring,A,ANTHONY STANTON,7.36,15,2014-01
515,70201,PROFSSNL & SRVC PROJ,BA,2014,Spring,A,MILTON COFIELD,4.86,22,2014-01
516,70208,REGRESSION ANALYSIS,BA,2014,Spring,1,MARIA FERREYRA,7.59,29,2014-01
517,70208,REGRESSION ANALYSIS,BA,2014,Spring,2,MARIA FERREYRA,7.18,22,2014-01
519,70208,REGRESSION ANALYSIS,BA,2014,Spring,X,JOHN GASPER,14.58,25,2014-01
520,70311,ORGNZTN BEHAVIOR,BA,2014,Spring,A,OLIVER HAHL,6.33,27,2014-01
521,70311,ORGNZTN BEHAVIOR,BA,2014,Spring,B,OLIVER HAHL,6.55,31,2014-01
522,70321,NEGOTIATN CNFLCT RES,BA,2014,Spring,A,NAZLI TURAN,5.0,10,2014-01
523,70332,BUS SOCIETY & ETHICS,BA,2014,Spring,A,JOSEPH HORNACK,5.18,34,2014-01
524,70332,BUS SOCIETY & ETHICS,BA,2014,Spring,B,JOSEPH HORNACK,5.33,18,2014-01
526,70339,INFO TCHNGY FINANCE,BA,2014,Spring,A,PARAM SINGH,7.83,12,2014-01
527,70340,BUSINESS COMMUNCTNS,BA,2014,Spring,A,CLAUDIA KIRKPATRICK,8.5,13,2014-01
528,70340,BUSINESS COMMUNCTNS,BA,2014,Spring,B,NANCY KOERBEL,5.0,9,2014-01
529,70340,BUSINESS COMMUNCTNS,BA,2014,Spring,C,NANCY KOERBEL,5.0,23,2014-01
530,70342,MANAGE ACRSS CLTURES,BA,2014,Spring,A,JOHN HOOKER,4.93,45,2014-01
531,70345,BUSINESS PRSNTATIONS,BA,2014,Spring,A,RONALD PLACONE,6.64,11,2014-01
532,70345,BUSINESS PRSNTATIONS,BA,2014,Spring,B,RONALD PLACONE,5.69,13,2014-01
533,70345,BUSINESS PRSNTATIONS,BA,2014,Spring,C,JULIA DEEMS,5.6,11,2014-01
534,70345,BUSINESS PRSNTATIONS,BA,2014,Spring,D,JULIA DEEMS,7.57,7,2014-01
536,70345,BUSINESS PRSNTATIONS,BA,2014,Spring,X,J MCGINNIS,7.2,15,2014-01
537,70350,BUSINESS ACTING,BA,2014,Spring,A,GEOFFREY HITCH,5.0,9,2014-01
538,70350,BUSINESS ACTING,BA,2014,Spring,B,GEOFFREY HITCH,4.25,8,2014-01
540,70364,BUSINESS LAW,BA,2014,Spring,A,JAMES ROBERTS,7.75,13,2014-01
541,70365,INT TRADE & INT LAW,BA,2014,Spring,A,CLIFFORD EARLY,9.29,7,2014-01
542,70366,INTEL PROPRTY & ECOM,BA,2014,Spring,A4,DAVID TUNGATE,6.22,27,2014-01
543,70371,OPERATIONS MGMT,BA,2014,Spring,A,MUSTAFA AKAN,6.24,17,2014-01
544,70381,MARKETING I,BA,2014,Spring,A,GUOFANG HUANG,5.32,37,2014-01
545,70381,MARKETING I,BA,2014,Spring,B,GUOFANG HUANG,5.87,32,2014-01
546,70385,CONSUMER BEHAVIOR,BA,2014,Spring,A,COLLEEN GIBLIN,5.0,6,2014-01
547,70391,FINANCE,BA,2014,Spring,A,CHRIS TELMER,9.03,36,2014-01
549,70398,INTERNATNL FINANCE,BA,2014,Spring,A,JOSE EMILIO OSAMBELA ZAVALA,8.06,19,2014-01
550,70401,MANAGEMENT GAME,BA,2014,Spring,A,DAVID LAMONT,13.18,38,2014-01
552,70415,INTRO ENTREPRENRSHIP,BA,2014,Spring,A,KATHARINE ANDERSON,6.8,10,2014-01
553,70415,INTRO ENTREPRENRSHIP,BA,2014,Spring,B,KATHARINE ANDERSON,5.0,9,2014-01
554,70416,NEW VENTURE CREATION,BA,2014,Spring,A,DAVID MAWHINNEY,8.0,11,2014-01
556,70419,ENTREPRNP PRCTM APPR,BA,2014,Spring,A,ROBERT CULBERTSON,10.04,24,2014-01
557,70422,MANAGERIAL ACCOUNTNG,BA,2014,Spring,A,JACK STECHER,5.67,18,2014-01
561,70425,ENTRPRSHP CRTV INDSR,BA,2014,Spring,A,TIM CUNNINGHAM,4.14,7,2014-01
562,70428,FINANCL STATMNT ANAL,BA,2014,Spring,A,JING LI,8.0,9,2014-01
563,70430,INTERNATNL MGMNT,BA,2014,Spring,A,MILTON COFIELD,9.19,16,2014-01
564,70437,ORG LRNG & STRAT MGT,BA,2014,Spring,A,LINDA ARGOTE,6.85,13,2014-01
565,70440,CORPORATE STRATEGY,BA,2014,Spring,A,DAVID LAMONT,5.0,10,2014-01
566,70443,DGTL MKTG SCL MD STG,BA,2014,Spring,A,PARAM SINGH,7.63,8,2014-01
569,70451,MANGEMNT INFRMT SYST,BA,2014,Spring,A,WOLFGANG GATTERBAUER,8.88,32,2014-01
571,70451,MANGEMNT INFRMT SYST,BA,2014,Spring,X,TRIDAS MUKHOPADHYAY,9.06,17,2014-01
572,70453,BUS TECH FOR CONSLTG,BA,2014,Spring,A,ROBERT MONROE,8.67,9,2014-01
574,70455,MODRN DATA MANGEMNT,BA,2014,Spring,A,WOLFGANG GATTERBAUER,11.54,13,2014-01
